GLHDID,BottleID,Tributary_name,Watershed_area ,Strahler_order,Agriculture,Urban,Forest,Wetland,Herbaceous,Shrubland,Barren,Open_water,Saturated_K,Drift_thickness ,Igneous,Carbonate,Metamorphic,Iron_formation,Sandstone,Shale,Bedrock_water,DOC,SUVA,E2E3,Flow,Discharge,Load,Yield
696,21,Sullivan Creek,25.8228,1,0,1.648543148,69.00529764,21.75867838,6.022584693,0.710999582,0,0.853896557,3.178015796,5.222630863,0,0,0,0,100,0,0,12.95224578,4.37,4.50462963,0.032848135,18764165.49,243.0380833,9.410131476
686,22,Mosquito River,35.8605,2,0,0.592295144,69.19563308,25.81503325,0.650018823,2.534822437,0.155602961,1.056594303,0.6372777,5.262033436,0,75.34696951,0,0,24.65303049,0,0,5.320306254,3.08,5.356687898,0.050357228,32891081.08,174.9906244,4.879478851
684,23,Miners River,68.724,2,1.121005762,2.002357255,77.77763227,17.21974856,0.489785228,0.969093766,0.018334206,0.402042954,1.258059749,10.77363479,0,81.05028811,0,0,18.94971189,0,0,4.16461055,2.57,5.269230769,0.008046094,66629611.81,277.4863843,4.03322253
680,24,Munising Falls Creek,7.4997,1,0.612024481,11.20844834,63.83055322,21.86487459,1.488059522,0.528021121,0.396015841,0.07200288,1.731824533,15.90215198,0,81.39786238,0,0,18.60213762,0,0,3.757171712,2.98,5.097345133,0.592259514,6750326.93,25.36213737,3.38429927
678,25,Anna River,60.3117,2,0.599883605,6.531568502,85.34612687,4.913971916,0.547654933,0.592422366,0.307403041,1.160968767,2.705262143,30.97530057,0,41.45464313,0,0,58.54535687,0,0,2.417041561,2.04,5.404255319,0.04218254,53298420.34,128.8244971,2.138592963
676,26,Gongeau Creek,29.4786,2,0.088538804,3.404164377,79.80704647,14.82261708,0.497649142,0.873175795,0.235085791,0.271722538,1.361227634,8.245230856,0,0,0,0,100,0,0,3.881296797,2.61,5.360824742,0.011427001,26103259.04,101.3144957,3.435734569
674,27,Au Train River,308.6919,4,7.739270127,3.172094895,63.82295745,19.31129388,1.295952372,1.224521926,0.05335417,3.380555175,1.523582189,8.699961388,0,60.0490975,0,0,39.9509025,0,0,5.560842435,2.44,6.457943925,0.600589456,254292451.5,1414.080255,4.580185066
670,28,Rock River,91.1376,3,0.966779902,1.262047717,79.17522515,17.71606889,0.367356612,0.145165113,0.001975036,0.365381577,1.529084702,2.150393411,0,0,0,0,100,0,0,4.949333543,3.01,5.282758621,0.041794018,73040366.29,361.5011349,3.967076301
666,29,Laughing Whitefish River,88.9443,2,2.856506825,2.165400144,59.94718043,31.99530493,1.047284649,1.297216348,0,0.691106681,0.491639845,1.776864837,0,0.054652551,0,0,99.94534745,0,0,8.933959143,3.44,5.791208791,0.771176063,72794367.25,650.3419028,7.308548153
664,30,Sand River,76.6908,2,1.519739004,1.260385861,63.23053091,29.86199127,1.58311036,1.140684411,0.215932028,1.187626156,0.505000489,0.856438041,0,0,0,0,100,0,0,10.16819727,3.51,5.358600583,0.217177841,55747696.3,566.8535733,7.392726003
662,31,Chocolay River,308.0007,4,2.586325291,5.698038998,66.17410285,18.42833474,4.451483389,1.551912057,0.367596567,0.742206105,1.512183928,22.2338913,0,0.826366588,11.67461962,0,87.4990138,0,0,2.911438084,2.69,5.075949367,0.035399881,186695591.2,543.5526544,1.763905635
660,32,Carp River,191.1042,3,0.109730712,12.03176068,61.31309516,16.75441984,3.149695297,0.968738521,1.075643549,4.596916237,1.094136706,3.622800039,31.23086777,0,52.6924055,15.78991984,0.286806883,0,0,4.971072965,2.32,6.319148936,0.014943324,114811009.5,570.7339054,2.98586173
656,33,Whetstone Brook,6.1713,1,0.189587283,57.19702494,41.73836955,0.189587283,0.495843663,0.175003646,0,0.014583637,1.584432709,2.52730002,100,0,0,0,0,0,0,3.248048484,2.33,6.253968254,0.068906442,3762049.06,12.21931773,1.981212942
